,T,r,S,date,E,Cobs,name,Mat,iv,delta,vega,stock_amount,option_return,stock_return,portfolio_return
7832,0.7063492063492064,0.0017000000000000001,0.55302,2010-04-14,0.56,0.0252,560-20101217,178,0.15155708169388188,0.4898860423969616,0.18536214206909266,-0.4898860423969616,,,
7833,0.7023809523809523,0.0017000000000000001,0.55387,2010-04-15,0.56,0.023399999999999997,560-20101217,177,0.14001039089577888,0.490044900404809,0.1851266864678377,-0.4898860423969616,-0.001800000000000003,-0.0004164031360374259,-0.0022164031360374288
7834,0.6984126984126984,0.0016,0.5446799999999999,2010-04-16,0.56,0.022850000000000002,560-20101217,176,0.16106367351348827,0.4480963878172573,0.18005743395248067,-0.4898860423969616,-0.0005499999999999949,0.004502052729628093,0.003952052729628098
7835,0.6944444444444444,0.0016,0.54799,2010-04-19,0.56,0.02445,560-20101217,175,0.16201194504799973,0.46619268988625456,0.18152578194979938,-0.4898860423969616,0.0015999999999999973,-0.0016215228003339602,-2.1522800333962895e-05
7836,0.6904761904761905,0.0016,0.55108,2010-04-20,0.56,0.0254,560-20101217,174,0.15965688704269637,0.48150753396948215,0.18248709480400246,-0.4898860423969616,0.0009499999999999995,-0.0015137478710066296,-0.0005637478710066302
7837,0.6865079365079365,0.0016,0.5500499999999999,2010-04-21,0.56,0.025,560-20101217,173,0.1606387067051678,0.4761206527354961,0.18149141487437592,-0.4761206527354961,-0.0003999999999999976,0.0005045826236689128,0.00010458262366891521
7838,0.6825396825396826,0.0016,0.54936,2010-04-22,0.56,0.0237,560-20101217,172,0.15572644804471591,0.46959532857925534,0.1805374547751926,-0.4761206527354961,-0.0013000000000000025,0.00032852325038747724,-0.0009714767496125252
7839,0.6785714285714286,0.0016,0.55265,2010-04-23,0.56,0.0257,560-20101217,171,0.15852852974704562,0.48900511025334054,0.18154865969448133,-0.4761206527354961,0.0020000000000000018,-0.0015664369474997894,0.0004335630525002124
7840,0.6746031746031746,0.0016,0.55018,2010-04-26,0.56,0.0256,560-20101217,170,0.1650644144354402,0.47817170696882216,0.18000655283225528,-0.4761206527354961,-9.99999999999994e-05,0.001176018012256662,0.0010760180122566627
7841,0.6706349206349206,0.0016,0.53813,2010-04-27,0.56,0.02165,560-20101217,169,0.17383582562459296,0.420303456261352,0.17228884122485147,-0.4761206527354961,-0.003950000000000002,0.0057372538654627304,0.0017872538654627283
