,date,name_p,S,cobs_p,delta_p,vega_p,name_h,cobs_h,delta_h,vega_h,option_h_amount,stock_h_amount
0,2009-09-21,340-20100115,0.49134,0.1522,0.9798262905498059,0.01399988991396152,340-20100319,0.1525,0.9753506002718798,0.020382480133160272,0.6868589996162974,0.30989795297190736
1,2009-09-22,340-20100115,0.49435,0.15505000000000002,0.983437133422204,0.011837610196796348,340-20100319,0.1554,0.9777685220627788,0.018728566163911473,0.6320617442464189,0.3654270558979609
2,2009-09-23,340-20100115,0.49036,0.1524,0.9601534789596423,0.024320503777200277,340-20100319,0.15259999999999999,0.958318155273185,0.031139156822546633,0.7810264072272747,0.21168169316595709
3,2009-09-25,340-20100115,0.48411000000000004,0.14555,0.9679643873624167,0.01983904651416426,340-20100319,0.14605,0.9610792556879845,0.028849669539622303,0.6876698011017838,0.3070592067604101
4,2009-09-28,340-20100115,0.49169,0.15280000000000002,0.9749789849329457,0.016303746975467666,340-20100319,0.15294999999999997,0.9734846482217735,0.021261047461083354,0.7668364884331484,0.22847543574698204
5,2009-09-29,340-20100115,0.49025,0.15045,0.9963122574311536,0.0030425351183144965,340-20100319,0.15045,0.9990456173073816,0.0011093453493865504,2.742640170616813,-1.7437103848747426
6,2009-09-30,340-20100115,0.48835,0.14965,0.9710476128113164,0.01806366244224828,340-20100319,0.15005000000000002,0.9655923256042866,0.02599604841025984,0.6948618558164829,0.3000943374797681
7,2009-10-01,340-20100115,0.47670999999999997,0.1387,0.9574047422161386,0.024049566861625727,340-20100319,0.13925,0.9504562045557527,0.03395994786009743,0.7081744342100038,0.2843159573134807
8,2009-10-02,340-20100115,0.47548,0.137,0.9648516350646481,0.020379621529785397,340-20100319,0.1377,0.9548417192999223,0.031318406957985795,0.6507234405991666,0.34351374625417896
9,2009-10-05,340-20100115,0.48175,0.14275,0.9756233430829704,0.015138262920168481,340-20100319,0.14315,0.9694717433996408,0.022949417607711235,0.6596360386540647,0.3361248426797814
10,2009-10-07,340-20100115,0.4898,0.1504,0.9850830407899145,0.010003732015214619,340-20100319,0.15084999999999998,0.9771524696687058,0.01816117762865846,0.5508305804701047,0.4468375787145049
11,2009-10-08,340-20100115,0.49263,0.15415,0.9682113130126438,0.01892677512165482,340-20100319,0.15455000000000002,0.9632836566923431,0.02697487587358343,0.70164456772125,0.2923285681197999
12,2009-10-09,340-20100115,0.49515,0.15605000000000002,0.9785376956741395,0.013603897642394332,340-20100319,0.15635,0.9739988405169964,0.02029055853960264,0.6704545671250282,0.3255157246750374
13,2009-10-12,340-20100115,0.49765,0.15785,0.9950504062126234,0.00378524121181048,340-20100319,0.1579,0.9949725086042844,0.004884882435116625,0.7748889071718486,0.22405724635421675
14,2009-10-13,340-20100115,0.49643,0.15655000000000002,0.9978357109505844,0.0017820319430371882,340-20100319,0.15675,0.9927938659101881,0.006675364967609763,0.26695648128364097,0.7328029538672177
15,2009-10-14,340-20100115,0.50488,0.1653,0.9893920618572981,0.007412999507476578,340-20100319,0.16535,0.9893358857406483,0.009530299287138198,0.777834912013827,0.21985207022009923
16,2009-10-20,340-20100115,0.50452,0.16585,0.972253885295929,0.016338616604982665,340-20100319,0.1661,0.969151798985322,0.023104693566298105,0.7071557369111856,0.2869126307056624
17,2009-10-21,340-20100115,0.50024,0.16135,0.9751560227172816,0.014656698530106507,340-20100319,0.16135,0.975868460996941,0.01858026097094219,0.7888316828826155,0.20536006235699655
18,2009-10-22,340-20100115,0.50484,0.1659,0.9765990335766708,0.013955984715833793,340-20100319,0.16605,0.9748211635579891,0.019341406784490364,0.72155996052081,0.2732071132849181
19,2009-10-23,340-20100115,0.5,0.16069999999999998,0.9825959671399682,0.010667901277422835,340-20100319,0.16085,0.9804875277829842,0.015375631719252098,0.6938187303267266,0.3023153555123871
20,2009-10-26,340-20100115,0.49421,0.15605000000000002,0.9628454564809006,0.019730336948760405,340-20100319,0.15630000000000002,0.9599822813845719,0.027500292678324906,0.7174591623278032,0.27409737302919224
21,2009-10-27,340-20100115,0.49416000000000004,0.15480000000000002,0.9832089634229229,0.010058825764543854,340-20100319,0.155,0.9799729226480346,0.015388294963364092,0.6536673353670144,0.34263267434375677
22,2009-10-28,340-20100115,0.4865,0.1467,0.9939913708554334,0.004007597701310852,340-20100319,0.14725,0.9808959197016959,0.014484551467865899,0.27668082855045545,0.7225962750706072
23,2009-10-30,340-20100115,0.48231,0.1427,0.988069698971741,0.007128432260148919,340-20100319,0.14335,0.9743776361529752,0.018217194851757476,0.3913024106157164,0.6067933810950383
24,2009-11-02,340-20100115,0.48514999999999997,0.14565,0.985458521938722,0.008432832986157428,340-20100319,0.146,0.9785646165990015,0.01569190126323968,0.5374003343949426,0.45957756975135977
25,2009-11-03,340-20100115,0.4849,0.14545,0.9841908571971664,0.008974782745609962,340-20100319,0.14605,0.9726959972910713,0.01912204511438722,0.469342201209296,0.5276635767211035
26,2009-11-04,340-20100115,0.48583,0.14830000000000002,0.9522464128471206,0.022358187723740427,340-20100319,0.14859999999999998,0.9490196013467114,0.03173398871675307,0.7045501882319964,0.2836144740824409
27,2009-11-05,340-20100115,0.49463,0.15515,0.98576232868231,0.008213466893041131,340-20100319,0.15515,0.9867263437972034,0.010459448781452151,0.78526766225063,0.2109180394075686
28,2009-11-06,340-20100115,0.49619,0.15680000000000002,0.9835850182080961,0.009222217263213876,340-20100319,0.15669999999999998,0.9864588090931272,0.010619630356908376,0.8684122660836832,0.1269320884053221
29,2009-11-09,340-20100115,0.50671,0.168,0.9727755999150142,0.014307093223373722,340-20100319,0.1679,0.9748008167491192,0.01830449173700023,0.7816165250004582,0.21085517295995915
30,2009-11-10,340-20100115,0.50727,0.1685,0.9737692167750707,0.013748197921429074,340-20100319,0.1684,0.9758274453012126,0.017602897046123264,0.7810190496147268,0.2116293928579508
31,2009-11-11,340-20100115,0.50992,0.1706,0.9834324036115482,0.009273127885158718,340-20100319,0.1705,0.9859899779611189,0.011061644231730096,0.8383136982980292,0.1568634987021703
32,2009-11-12,340-20100115,0.50545,0.1672,0.965930294016272,0.01667241885230379,340-20100319,0.1673,0.9649906422458204,0.023603608171308434,0.7063504330058356,0.28430873601935736
33,2009-11-13,340-20100115,0.50808,0.16875,0.9836744885976088,0.008935814451045508,340-20100319,0.16865,0.9865372310410019,0.010534187532362897,0.8482680248090417,0.14682650022187682
34,2009-11-16,340-20100115,0.51501,0.1753,0.9922853685029217,0.004671427726566949,340-20100319,0.1752,0.9960931111640721,0.003570141086709059,1.3084714618023825,-0.31107404075321476
35,2009-11-17,340-20100115,0.51609,0.1763,0.9943406902036673,0.00352070860518148,340-20100319,0.1762,0.9987513374650304,0.001265756755041926,2.7815048911707074,-1.7836910400186006
36,2009-11-18,340-20100115,0.51654,0.1773,0.9827282983013177,0.009223850481442974,340-20100319,0.1772,0.9853198625131498,0.011347372583818231,0.8128622210393024,0.18179900642473867
37,2009-11-19,340-20100115,0.51035,0.17155,0.97476618885492,0.012417623668367421,340-20100319,0.1714,0.9778285000350471,0.015842103606882582,0.7838367919126977,0.20830823434664336
38,2009-11-20,340-20100115,0.5087900000000001,0.1697,0.9789925148828329,0.010484694972616853,340-20100319,0.1696,0.9811706950809471,0.013672248847170162,0.7668595773684255,0.22657237032677358
